,Unnamed: 0,Title,University,Link,Country,State,Location,Date
146,102,The Cytnx Library for Tensor Networks,Boston University,https://arxiv.org/pdf/2401.01921v1,USA,MA,"USA, MA",1.2024
147,103,Validating quantum-supremacy experiments with exact and fast tensor network contraction,"National Research Center of Parallel Computer Engineering and Technology, Beijing",https://arxiv.org/pdf/2212.04749v2,China,,China,12.2022
148,104,Validating quantum-supremacy experiments with exact and fast tensor network contraction,National Supercomputing Center in Wuxi,https://arxiv.org/pdf/2212.04749v2,China,,China,12.2022
149,105,Comment on “Controlled Bond Expansion for Density Matrix Renormalization Group Ground State Search at Single-Site Costs”,"School of Mathematics and Physics, The University of Queensland",https://arxiv.org/pdf/2403.00562v1,Australia,,Australia,3.2024
150,106,Quantum Computing and Tensor Networks for Laminate Design: A Novel Approach to Stacking Sequence Retrieval,Delft University of Technology,https://arxiv.org/pdf/2402.06455v1,Netherlands,,Netherlands,2.2024
151,107,Light-induced phase transitions in vanadium dioxide: a tensor network study,Adam Mickiewicz University,https://arxiv.org/pdf/2402.01247v2,Poland,,Poland,2.2024
152,108,Efficient Representation of Minimally Entangled Typical Thermal States in two dimensions via Projected Entangled Pair States,"agiellonian University, Mark Kac Center for Complex Systems Research",https://arxiv.org/pdf/2310.08533v2,Poland,,Poland,10.2023
153,109,Quantum metrology using quantum combs and tensor network formalism,"Center for Theoretical Physics, Polish Academy of Sciences, Al. Lotnikow",https://arxiv.org/pdf/2403.04854v1,Poland,,Poland,3.2024
154,110,Efficient Representation of Minimally Entangled Typical Thermal States in two dimensions via Projected Entangled Pair States,"Institute of Theoretical Physics, ul. Lojasiewicza",https://arxiv.org/pdf/2310.08533v2,Poland,,Poland,10.2023
155,111,Computational supremacy in quantum simulation,"Jagiellonian University, Institute of Theoretical Physics",https://arxiv.org/pdf/2403.00910v1,Poland,,Poland,3.2024
156,112,Sampling diverse near-optimal solutions via algorithmic quantum annealing,"Jagiellonian University, Institute of Theoretical Physics",https://arxiv.org/pdf/2110.10560v3,Poland,,Poland,10.2021
157,113,Quantum metrology using quantum combs and tensor network formalism,University of Warsaw,https://arxiv.org/pdf/2403.04854v1,Poland,,Poland,3.2024
158,114,Grassmann Time-Evolving Matrix Product Operators for Quantum Impurity Models,Singapore University,https://arxiv.org/pdf/2308.05279v3,Singapore,,Singapore,8.2023
159,115,CompactifAI: Extreme Compression of Large Language Models using Quantum-Inspired Tensor Networks,Barcelona Institute of Science and Technology,https://arxiv.org/pdf/2401.14109v1,Spain,,Spain,1.2024
160,116,Stabilizer Tensor Networks: universal quantum simulator on a basis of stabilizer states,Barcelona Supercomputing Center,https://arxiv.org/pdf/2403.08724v1,Spain,,Spain,3.2024
